country_name,year,headcount,PopTotal,PIP_Region,poorpop
Panama,2026,0.104370769619982,4644204,LAC,484719.145752198
Panama,2027,0.100579709599724,4700639,LAC,472788.905553137
Panama,2028,0.0961684054506245,4756063,LAC,457382.994932714
Panama,2029,0.090633937463968,4810535,LAC,435997.728358229
Panama,2030,0.0862586065338651,4864126,LAC,419572.730765143
Papua New Guinea,2020,0.84474371981847,9749640,EAP,8235947.16049095
Papua New Guinea,2021,0.846026390047838,9949437,EAP,8417486.26811839
Papua New Guinea,2022,0.842131652185762,10142619,EAP,8541420.4959607
Papua New Guinea,2023,0.836586655446692,10329931,EAP,8641882.4262851
Papua New Guinea,2024,0.833692416477366,10515788,EAP,8766932.70888369
Papua New Guinea,2025,0.831428598384944,10701144,EAP,8897237.15703546
Papua New Guinea,2026,0.830709947088302,10886097,EAP,9043189.06286812
Papua New Guinea,2027,0.827226225877712,11069871,EAP,9157287.60828314
Papua New Guinea,2028,0.82409357730965,11252452,EAP,9273073.42218512
Papua New Guinea,2029,0.821310261749024,11434334,EAP,9391135.85046577
Papua New Guinea,2030,0.816096742881959,11615322,EAP,9479226.45172516
Paraguay,2020,0.202467215580983,6618695,LAC,1340068.74742978
Paraguay,2021,0.194240069640785,6703799,LAC,1302146.38461782
Paraguay,2022,0.197884615467,6780744,LAC,1341804.91902017
Paraguay,2023,0.188084954103313,6861524,LAC,1290549.42661878
Paraguay,2024,0.180097998041639,6947270,LAC,1251189.41885473
Paraguay,2025,0.17108802159367,7031341,LAC,1202978.22084046
Paraguay,2026,0.162782763962893,7113876,LAC,1158016.39776929
Paraguay,2027,0.159291299914191,7194655,LAC,1146045.94738414
Paraguay,2028,0.152603396958899,7273521,LAC,1109964.01245189
Paraguay,2029,0.145447109460468,7350459,LAC,1069103.01475768
Paraguay,2030,0.140132087297168,7425448,LAC,1040543.52735658
Peru,2020,0.345311024411329,33304756,LAC,11500499.4121294
Peru,2021,0.291364002046805,33715471,LAC,9823474.56145301
Peru,2022,0.284878293495994,34049588,LAC,9699988.52368169
Peru,2023,0.278330029097467,34352719,LAC,9561393.2788471
Peru,2024,0.269187237277258,34683444,LAC,9336340.4696205
Peru,2025,0.260721701721579,35015825,LAC,9129385.48118501
Peru,2026,0.252696283612293,35351784,LAC,8933264.4358645
Peru,2027,0.245692224680231,35690300,LAC,8768829.20650484
Peru,2028,0.236913391383086,36029236,LAC,8535808.48970157
Peru,2029,0.229345872319031,36367136,LAC,8340652.52966485
Peru,2030,0.220838216029224,36702393,LAC,8105290.99412347
Philippines,2020,0.761832688582735,112190977,EAP,85470753.6426338
Philippines,2021,0.747642131281592,113880328,EAP,85141731.1369668
Philippines,2022,0.73185476679404,115559009,EAP,84572411.5826453
Philippines,2023,0.719314931824513,117337368,EAP,84402520.8633878
Philippines,2024,0.704299363268246,119106224,EAP,83886437.724485
Philippines,2025,0.68807845908223,120864358,EAP,83164161.210603
Philippines,2026,0.670705506302876,122610193,EAP,82235331.5739583
Philippines,2027,0.653258977402675,124343503,EAP,81228509.6164465
Philippines,2028,0.635813033939725,126062041,EAP,80151888.752844
Philippines,2029,0.618385359859022,127766369,EAP,79008852.0719456
Philippines,2030,0.600205151028369,129453321,EAP,77698550.0819289
Poland,2020,0.0286204859993759,38428366,ECA,1099838.51108189
Poland,2021,0.0224545367645219,38307726,ECA,860182.241832233
Poland,2022,0.019021643396256,39857145,ECA,758148.398982869
Poland,2023,0.0186296564264354,41026067,ECA,764301.53273792
Poland,2024,0.0163273642159764,40221726,ECA,656714.769797207
Poland,2025,0.0137646333144384,39616730,ECA,545309.761567112
Poland,2026,0.0124959098507826,39242577,ECA,490371.704504393
Poland,2027,0.0109355125324448,39047654,ECA,427006.109679568
Poland,2028,0.00981150771100789,38923845,ECA,381901.605359576
Poland,2029,0.00884380775529685,38817187,ECA,343291.739429408
Poland,2030,0.00807602860786227,38700518,ECA,312546.490507089
Portugal,2020,0.0193455285468761,10298192,OHI,199223.967317211
Portugal,2021,0.0166158656135587,10290103,OHI,170978.968597677
Portugal,2022,0.0141306659918309,10270865,OHI,145134.162762186
Portugal,2023,0.0138830369400127,10247605,OHI,142267.878761659
Portugal,2024,0.0125717776765057,10223349,OHI,128525.670737326
Portugal,2025,0.0109794307841679,10198116,OHI,111969.508750915
Portugal,2026,0.00963732196157267,10172106,OHI,98031.8605492451
Portugal,2027,0.00914840801303733,10145530,OHI,92815.4479485106
Portugal,2028,0.00855608649155237,10118394,OHI,86573.8542196046
Portugal,2029,0.0081909736673494,10090603,OHI,82651.8634606769
Portugal,2030,0.007586748352722,10062183,OHI,76339.2503000373
Romania,2020,0.12422569239932,19442038,ECA,2415200.6322039
Romania,2021,0.112499640647831,19328560,ECA,2174456.05424004
Romania,2022,0.107677120285827,19659267,ECA,2116853.25749019
Romania,2023,0.102678627302612,19892812,ECA,2042566.62934892
Romania,2024,0.0998928359248123,19618996,ECA,1959797.14843755
Romania,2025,0.0948473131942274,19424322,ECA,1842344.75231952
Romania,2026,0.088756606999069,19291945,ECA,1712287.58061265
Romania,2027,0.0856327756445934,19208482,ECA,1644875.62957921
Romania,2028,0.0825994684162619,19144537,ECA,1581328.57927546
Romania,2029,0.0793154512044359,19085238,ECA,1513754.26331405
Romania,2030,0.0745026152238054,19023383,ECA,1417291.78390408
Russian Federation,2020,0.0444093909210295,145617329,ECA,6466776.88843716
