country_name,year,headcount,PopTotal,PIP_Region,poorpop
Albania,2020,0.0100249509340655,2866849,ECA,28740.0205603748
Albania,2021,0.00666273835061943,2854710,ECA,19020.1857968968
Albania,2022,0.00585070958771581,2842321,ECA,16629.594726066
Albania,2023,0.0051819571435207,2832439,ECA,14677.5775096366
Albania,2024,0.0050547822813014,2826020,ECA,14284.9158226034
Albania,2025,0.00368213763800956,2821626,ECA,10389.6152949864
Albania,2026,0.00346897218310332,2816695,ECA,9771.03660328619
Albania,2027,0.00312524358860338,2811110,ECA,8785.40350435885
Albania,2028,0.00234711168949798,2804771,ECA,6583.11080046495
Albania,2029,0.00234711168949798,2797599,ECA,6566.27731542787
Albania,2030,0.00180407498599638,2789599,ECA,5032.64577686053
Algeria,2020,0.029146923828125,43451666,MNA,1266482.39910713
Algeria,2021,0.0273772583007812,44177969,MNA,1209471.66851691
Algeria,2022,0.0245091796875,44903225,MNA,1100541.21007324
Algeria,2023,0.0235938354492187,45606480,MNA,1076031.78453809
Algeria,2024,0.023288720703125,46278751,MNA,1077772.90652847
Algeria,2025,0.0229836059570313,46922031,MNA,1078437.4712076
Algeria,2026,0.0227395141601563,47538087,MNA,1080993.00248324
Algeria,2027,0.0224343994140625,48130008,MNA,1079767.82327402
Algeria,2028,0.0218851928710937,48700234,MNA,1065814.0139574
Algeria,2029,0.021580078125,49251258,MNA,1062845.99539453
Algeria,2030,0.0210308715820312,49787283,MNA,1047069.95519125
Angola,2020,0.57120652585222,33428486,SSA,19094569.3525596
Angola,2021,0.578464150599831,34503774,SSA,19959196.3193985
Angola,2022,0.578464150599831,35588987,SSA,20586953.1356634
Angola,2023,0.577176382966005,36684202,SSA,21173255.0223543
Angola,2024,0.575032163786969,37804634,SSA,21738880.4901944
Angola,2025,0.57120652585222,38942791,SSA,22244376.3540991
Angola,2026,0.568110648010283,40099526,SSA,22780967.7007652
Angola,2027,0.566537512436596,41274799,SSA,23383721.9517805
Angola,2028,0.564193118531543,42468711,SSA,23960554.4991048
Angola,2029,0.559415539243252,43680934,SSA,24435793.2482589
Angola,2030,0.558176582203005,44911664,SSA,25068639.1125698
Armenia,2020,0.118894446540913,2805608,ECA,333571.210370758
Armenia,2021,0.103838897166742,2790974,ECA,289811.66218105
Armenia,2022,0.0869822878464246,2780469,ECA,241851.55490606
Armenia,2023,0.0794197119064968,2777970,ECA,220625.577084891
Armenia,2024,0.0714477391310473,2777979,ECA,198480.318903528
Armenia,2025,0.0630276333563768,2777003,ECA,175027.926913558
Armenia,2026,0.0543978117521114,2775109,ECA,150959.85697359
Armenia,2027,0.0486446380620051,2772323,ECA,134858.648925972
Armenia,2028,0.0424203073504835,2768742,ECA,117450.886614192
Armenia,2029,0.0373455330334259,2764470,ECA,103240.605704915
Armenia,2030,0.0332792427573371,2759528,ECA,91835.002207669
Australia,2020,0.00738234620000171,25670051,OHI,189505.2034537
Australia,2021,0.00738234620000171,25921089,OHI,191358.452879056
Australia,2022,0.00738234620000171,26177413,OHI,193250.725386425
Australia,2023,0.00738234620000171,26439111,OHI,195182.670622273
Australia,2024,0.00738234620000171,26699482,OHI,197104.819484714
Australia,2025,0.00738234620000171,26958054,OHI,199013.687506341
Australia,2026,0.00738234620000171,27214034,OHI,200903.420486617
Australia,2027,0.00738234620000171,27467171,OHI,202772.165456647
Australia,2028,0.00497093972233526,27717005,OHI,137779.561138665
Australia,2029,0.00497093972233526,27962250,OHI,138998.659250869
Australia,2030,0.00497093972233526,28202414,OHI,140192.500018344
Austria,2020,0.00736757827230343,8907777,OHI,65628.7442797243
Austria,2021,0.00712553192263573,8922082,OHI,63574.5801073737
Austria,2022,0.00712553192263573,8939617,OHI,63699.5263096371
Austria,2023,0.00712553192263573,8958960,OHI,63837.3554736166
Austria,2024,0.00712553192263573,8977139,OHI,63966.8905184382
Austria,2025,0.00712553192263573,8994123,OHI,64087.9105526123
Austria,2026,0.00712553192263573,9009822,OHI,64199.7742782657
Austria,2027,0.00712553192263573,9023827,OHI,64299.5673528422
Austria,2028,0.00712553192263573,9036044,OHI,64386.6199763411
Austria,2029,0.00712553192263573,9046322,OHI,64459.8561934419
Austria,2030,0.00712553192263573,9054576,OHI,64518.6703339314
Azerbaijan,2020,0,10284951,ECA,0
Azerbaijan,2021,0,10312992,ECA,0
Azerbaijan,2022,0,10358074,ECA,0
Azerbaijan,2023,0,10412651,ECA,0
Azerbaijan,2024,0,10462904,ECA,0
Azerbaijan,2025,0,10509535,ECA,0
Azerbaijan,2026,0,10553323,ECA,0
Azerbaijan,2027,0,10595099,ECA,0
Azerbaijan,2028,0,10635058,ECA,0
Azerbaijan,2029,0,10673545,ECA,0
Azerbaijan,2030,0,10711138,ECA,0
Bangladesh,2020,0.36266584525355,167420951,SAS,60717860.7075682
Bangladesh,2021,0.333803258823768,169356251,SAS,56531668.485976
Bangladesh,2022,0.302071593722383,171186372,SAS,51710540.2135927
Bangladesh,2023,0.276277296245358,172954319,SAS,47783351.6272771
Bangladesh,2024,0.245896044520542,174701211,SAS,42958336.7578486
Bangladesh,2025,0.218990686217625,176421509,SAS,38634667.319459
Bangladesh,2026,0.192558660006626,178106136,SAS,34295878.8871178
Bangladesh,2027,0.167818615361558,179751964,SAS,30165725.7070007
Bangladesh,2028,0.145683595829672,181356085,SAS,26420606.5883916
Bangladesh,2029,0.125358971762182,182915579,SAS,22930108.9027243
Bangladesh,2030,0.107226016039379,184424144,SAS,19775066.2225927
Belarus,2020,0.000182429647228962,9633740,ECA,1757.47978969555
Belarus,2021,0.000182429647228962,9578167,ECA,1747.34162691009
Belarus,2022,0.000182429647228962,9534954,ECA,1739.45829456438
Belarus,2023,0.000182429647228962,9498238,ECA,1732.76020763673
Belarus,2024,0.000182429647228962,9455037,ECA,1724.87906444679
Belarus,2025,0.000182429647228962,9412540,ECA,1717.1263517285
Belarus,2026,0.000182429647228962,9371048,ECA,1709.55698080567
Belarus,2027,0.000182429647228962,9330247,ECA,1702.11366876909
Belarus,2028,0.000182429647228962,9289331,ECA,1694.64937732307
Belarus,2029,0.000182429647228962,9247954,ECA,1687.10098580967
Belarus,2030,0.000182429647228962,9206170,ECA,1679.47834542986
Belgium,2020,0.00129171705975572,11561717,OHI,14934.4670889677
Belgium,2021,0.00129171705975572,11611419,OHI,14998.6680102717
Belgium,2022,0.00129171705975572,11655930,OHI,15056.1636283185
Belgium,2023,0.00129171705975572,11686140,OHI,15095.1864006937
Belgium,2024,0.00129171705975572,11715774,OHI,15133.4651440425
Belgium,2025,0.00129171705975572,11744521,OHI,15170.5981343593
Belgium,2026,0.00129171705975572,11772171,OHI,15206.3141110615
Belgium,2027,0.00129171705975572,11798879,OHI,15240.8132902935
Belgium,2028,0.00129171705975572,11824728,OHI,15274.2028845711
Belgium,2029,0.00129171705975572,11849632,OHI,15306.3718062273
Belgium,2030,0.00129171705975572,11873460,OHI,15337.1508403271
Belize,2020,0.478809911030326,394921,LAC,189092.088874007
Belize,2021,0.406424676442853,400031,LAC,162582.469742111
Belize,2022,0.402174358694018,405272,LAC,162990.006696642
Belize,2023,0.402174358694018,410825,LAC,165223.28091047
Belize,2024,0.402174358694018,416656,LAC,167568.359596015
Belize,2025,0.402174358694018,422440,LAC,169894.536086701
Belize,2026,0.402174358694018,428165,LAC,172196.984290224
Belize,2027,0.402174358694018,433836,LAC,174477.715078378
Belize,2028,0.402174358694018,439438,LAC,176730.695835782
Belize,2029,0.402174358694018,444964,LAC,178953.111341925
Belize,2030,0.402174358694018,450428,LAC,181150.592037829
Benin,2020,0.51431194876682,12643123,SSA,6502509.22862861
Benin,2021,0.494180841101684,12996895,SSA,6422816.50281027
Benin,2022,0.481047523029973,13352864,SSA,6423362.15255609
Benin,2023,0.46626968874023,13712828,SSA,6393876.04330831
Benin,2024,0.452009459158327,14080072,SSA,6364325.72963031
Benin,2025,0.440445004313735,14454199,SSA,6366279.74090658
Benin,2026,0.4265275180746,14832937,SSA,6326655.8043669
Benin,2027,0.413615538973978,15216009,SSA,6293577.7635679
Benin,2028,0.395323511462743,15603721,SSA,6168517.77760494
Benin,2029,0.383129594536855,15996447,SSA,6128712.25314028
Benin,2030,0.366461164129493,16393827,SSA,6007700.92695751
Bhutan,2020,0.0561427527859194,772506,SAS,43370.6133836395
Bhutan,2021,0.062550331778606,777486,SAS,48632.0072532213
Bhutan,2022,0.057052896627264,782455,SAS,44641.3242304858
Bhutan,2023,0.0545029690162806,787424,SAS,42916.9458746758
Bhutan,2024,0.0485211949471128,792382,SAS,38447.3214945831
Bhutan,2025,0.0435446590520991,797335,SAS,34719.6807253054
Bhutan,2026,0.0365002045125195,802260,SAS,29282.6540722139
Bhutan,2027,0.0314642754131329,807152,SAS,25396.4528282611
Bhutan,2028,0.0266835295305314,811997,SAS,21666.9459282029
Bhutan,2029,0.0246378727460064,816780,SAS,20123.7217014831
Bhutan,2030,0.0207752013190094,821498,SAS,17066.7863331636
Bolivia,2020,0.0646472775905539,11936162,LAC,771640.378179821
Bolivia,2021,0.0597633335380853,12079472,LAC,721909.514099962
Bolivia,2022,0.0582042232875527,12224110,LAC,711494.827931606
Bolivia,2023,0.0578193536633376,12388571,LAC,716299.168032368
Bolivia,2024,0.0570444665328334,12567336,LAC,716896.977858872
Bolivia,2025,0.0554246287242745,12746148,LAC,706450.520564655
Bolivia,2026,0.0543378148409776,12924657,LAC,702297.618949145
Bolivia,2027,0.0535503633881231,13102178,LAC,701626.393075872
Bolivia,2028,0.0528261698082126,13278039,LAC,701427.94293407
Bolivia,2029,0.0521574686520157,13452352,LAC,701640.627735881
Bolivia,2030,0.0515309103270354,13625507,LAC,702134.779377393
Bosnia and Herzegovina,2020,0.00356280055999085,3318407,ECA,11822.8223178775
Bosnia and Herzegovina,2021,0.00242083650869939,3270943,ECA,7918.4182322747
Bosnia and Herzegovina,2022,0.00242083650869939,3233526,ECA,7827.8377926287
Bosnia and Herzegovina,2023,0.00235114458443247,3210847,ECA,7549.16553549125
Bosnia and Herzegovina,2024,0.00215047946526781,3194378,ECA,6869.44429330326
Bosnia and Herzegovina,2025,0.00198979497737323,3181557,ECA,6330.64613882664
Bosnia and Herzegovina,2026,0.00198979497737323,3168378,ECA,6304.42263081984
Bosnia and Herzegovina,2027,0.0013742646420622,3154834,ECA,4335.57681777566
Bosnia and Herzegovina,2028,0.00132582194542341,3140867,ECA,4164.2303962562
Bosnia and Herzegovina,2029,0.00132582194542341,3126508,ECA,4145.19291894186
Bosnia and Herzegovina,2030,0.00115870280841813,3111789,ECA,3605.63865350466
Botswana,2020,0.393899282021953,2546402,SSA,1003025.91953927
Botswana,2021,0.36225686016639,2588423,SSA,937673.988762467
Botswana,2022,0.353792408250663,2630296,SSA,930578.756252086
Botswana,2023,0.347010433280642,2675352,SSA,928375.056698232
Botswana,2024,0.339492151930427,2719694,SSA,923314.768652272
Botswana,2025,0.333852265449824,2763338,SSA,922546.651503585
Botswana,2026,0.32915058298676,2806300,SSA,923695.281035745
Botswana,2027,0.324426597081567,2848644,SSA,924175.879216823
Botswana,2028,0.315955056213132,2890377,SSA,913229.227512144
Botswana,2029,0.312837682046625,2931568,SSA,917104.93788206
Botswana,2030,0.308924532104744,2972271,SSA,918207.427963499
Brazil,2020,0.11392547468048,213196304,LAC,24288490.1333238
Brazil,2021,0.108214687405077,214326223,LAC,23193245.2246557
Brazil,2022,0.105371978361681,215313498,LAC,22688009.2522339
Brazil,2023,0.105049414252107,216422446,LAC,22735051.1833082
Brazil,2024,0.103514846494023,217637297,LAC,22528691.3903291
Brazil,2025,0.1018811291664,218803058,LAC,22291902.6141014
Brazil,2026,0.100307492474777,219927144,LAC,22060340.3417792
Brazil,2027,0.0995178058496187,221002333,LAC,21993667.2678068
Brazil,2028,0.0982719335202759,222022547,LAC,21818584.9787863
Brazil,2029,0.0971171709590978,222989897,LAC,21656147.9491006
Brazil,2030,0.0952439163926738,223908968,LAC,21325967.0277619
Bulgaria,2020,0.0287485499012123,6979175,ECA,200641.160756793
Bulgaria,2021,0.0259361588007678,6885868,ECA,178592.965929125
Bulgaria,2022,0.0240521823227122,6781953,ECA,163120.770060065
Bulgaria,2023,0.0235989389041429,6687717,ECA,157823.024891198
Bulgaria,2024,0.0212922677214884,6618615,ECA,140925.322525459
Bulgaria,2025,0.0180750154056896,6565190,ECA,118665.910391279
Bulgaria,2026,0.0168160838647072,6511163,ECA,109492.263064779
Bulgaria,2027,0.0166683913257974,6456605,ECA,107621.2187761
Bulgaria,2028,0.0163108480479569,6401541,ECA,104414.562523766
Bulgaria,2029,0.0138709070069322,6346031,ECA,88025.205864109
Bulgaria,2030,0.0138129124756243,6290166,ECA,86885.5124151475
Burkina Faso,2020,0.604509585821583,21522626,SSA,13010633.7290528
